beds.slots,world_id,hours,Beds in use,Patients waiting,Patients treated,Patients died
115,0,0.0,6.0,0.0,0.0,0.0
115,0,1.0,10.0,0.0,0.0,0.0
115,0,2.0,17.0,0.0,0.0,0.0
115,0,3.0,19.0,0.0,0.0,0.0
115,0,4.0,26.0,0.0,0.0,0.0
115,0,5.0,33.0,0.0,0.0,0.0
115,0,6.0,37.0,0.0,0.0,0.0
115,0,7.0,42.0,0.0,0.0,0.0
115,0,8.0,48.0,0.0,0.0,0.0
115,0,9.0,53.0,0.0,0.0,0.0
115,0,10.0,60.0,0.0,0.0,0.0
115,0,11.0,66.0,0.0,0.0,0.0
115,0,12.0,70.0,0.0,0.0,0.0
115,0,13.0,74.0,0.0,0.0,0.0
115,0,14.0,77.0,0.0,0.0,0.0
115,0,15.0,79.0,0.0,0.0,0.0
115,0,16.0,80.0,0.0,1.0,0.0
115,0,17.0,88.0,0.0,2.0,0.0
115,0,18.0,94.0,0.0,2.0,0.0
115,0,19.0,97.0,0.0,2.0,0.0
115,0,20.0,104.0,0.0,3.0,0.0
115,0,21.0,108.0,0.0,3.0,0.0
115,0,22.0,108.0,0.0,3.0,0.0
115,0,23.0,112.0,0.0,6.0,0.0
115,0,24.0,111.0,2.0,7.0,0.0
115,0,25.0,113.0,5.0,11.0,0.0
115,0,26.0,112.0,7.0,13.0,0.0
115,0,27.0,112.0,11.0,16.0,0.0
115,0,28.0,111.0,17.0,19.0,0.0
115,0,29.0,113.0,16.0,23.0,0.0
115,0,30.0,113.0,19.0,25.0,3.0
115,0,31.0,112.0,21.0,27.0,4.0
115,0,32.0,114.0,19.0,30.0,6.0
115,0,33.0,110.0,21.0,31.0,13.0
115,0,34.0,109.0,17.0,36.0,15.0
115,0,35.0,112.0,13.0,42.0,19.0
115,0,36.0,113.0,19.0,45.0,24.0
115,0,37.0,112.0,23.0,47.0,24.0
115,0,38.0,112.0,27.0,50.0,28.0
115,0,39.0,111.0,26.0,53.0,32.0
115,0,40.0,110.0,29.0,57.0,35.0
115,0,41.0,110.0,20.0,62.0,42.0
115,0,42.0,110.0,17.0,67.0,45.0
115,0,43.0,107.0,14.0,72.0,49.0
115,0,44.0,114.0,8.0,80.0,52.0
115,0,45.0,113.0,12.0,81.0,54.0
115,0,46.0,112.0,12.0,83.0,54.0
115,0,47.0,112.0,11.0,86.0,57.0
115,0,48.0,109.0,11.0,89.0,59.0
115,0,49.0,110.0,10.0,95.0,59.0
115,0,50.0,114.0,12.0,100.0,60.0
115,0,51.0,111.0,14.0,101.0,61.0
115,0,52.0,113.0,17.0,105.0,62.0
115,0,53.0,112.0,20.0,107.0,64.0
